student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
53709,1,1,1,0,0,1,1,1,1,0
4975,1,1,1,1,1,1,1,1,1,1
7994,1,1,1,1,1,1,0,1,1,1
8250,1,0,0,1,0,0,0,0,1,0
8202,1,1,0,1,1,0,0,0,1,0
8094,1,1,1,0,0,0,0,1,1,1
8354,1,1,1,0,0,0,1,0,1,1
8248,1,1,1,1,1,1,0,1,1,1
8205,1,1,1,0,1,0,0,0,1,0
8090,0,0,0,0,0,0,0,1,0,1
55526,1,1,1,0,0,1,0,0,1,1
55542,1,1,1,1,0,1,1,0,1,1
8085,0,1,0,0,0,0,0,0,1,1
56038,1,0,0,1,0,0,0,1,1,0
8255,1,1,1,0,1,1,1,1,1,1
8252,1,1,1,1,1,1,1,1,1,1
8193,0,0,1,0,0,1,0,1,1,0
8298,1,1,1,1,1,0,1,1,1,1
8040,1,1,1,0,1,1,1,0,1,1
8196,1,1,1,1,1,1,1,1,1,1
8260,1,1,1,1,1,1,1,0,1,1
8295,1,0,0,0,1,1,1,0,1,1
8197,1,0,1,1,1,0,1,0,1,0
949,0,1,1,0,0,1,1,1,1,0
950,1,1,1,1,1,0,1,1,1,0
951,1,0,1,0,1,1,1,1,0,0
952,1,0,1,0,1,1,1,1,1,1
953,1,1,1,0,1,1,0,0,1,0
954,1,1,1,0,0,1,0,1,1,1
5124,1,1,0,0,0,1,0,0,1,0
54278,0,1,0,1,0,1,1,0,1,0
4974,1,0,1,1,0,0,1,0,1,0
5253,1,1,1,1,1,0,1,0,1,1
34020,1,1,1,0,0,1,1,1,1,1
5217,1,1,1,0,0,0,1,0,1,1
53207,1,1,1,0,1,1,0,1,1,0
28541,1,1,1,1,1,0,1,0,1,1
5249,1,1,1,1,1,1,1,1,1,1
33535,1,1,1,1,1,1,1,1,1,0
6882,1,1,1,0,1,0,1,0,1,0
2683,1,1,1,1,1,1,1,1,1,0
5247,1,1,1,1,0,0,1,0,1,1
5075,1,1,1,0,1,1,1,1,1,1
53198,1,1,1,0,0,0,1,1,1,0
