student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
53709,1,1,1,0,0,1,0,1,1,1
948,0,1,1,1,0,1,0,1,1,1
4975,1,1,1,1,0,1,0,0,1,1
8301,1,1,1,1,1,1,1,0,1,1
7994,1,0,1,1,0,1,0,0,1,1
8250,0,0,1,1,0,1,0,1,1,1
8202,0,1,1,0,0,1,0,1,1,1
8094,1,1,1,1,1,1,0,0,1,1
8354,1,1,1,1,1,1,0,0,1,1
8248,0,0,1,0,0,0,0,0,0,1
8090,0,0,1,1,1,1,0,1,1,1
55526,0,1,1,1,1,1,1,1,1,1
8292,0,1,1,1,0,0,0,1,0,1
8085,0,1,1,1,0,1,0,1,1,1
56038,0,0,1,0,0,0,0,0,1,1
8255,0,1,1,1,1,1,0,1,1,1
8252,1,1,1,1,1,1,1,0,1,1
8193,0,0,1,0,0,0,1,0,0,0
8298,1,1,1,1,1,1,0,0,1,1
8040,1,1,1,1,1,0,1,0,1,1
8196,1,1,1,1,1,1,1,0,1,1
8260,1,0,1,1,0,1,1,0,1,1
8295,0,0,1,0,0,1,0,0,0,0
8197,0,0,1,1,0,1,0,0,0,0
949,0,1,1,1,0,1,0,0,1,1
950,1,1,1,1,0,1,0,0,1,1
951,0,1,0,0,0,1,0,1,1,1
952,1,1,1,1,0,1,1,0,1,1
953,1,1,1,0,1,1,1,1,0,1
954,1,1,1,1,0,1,1,1,1,1
5124,0,0,1,0,0,1,0,0,0,1
54278,0,0,0,0,0,0,0,0,0,0
8500,0,0,1,0,0,0,0,0,0,1
4974,1,1,1,0,0,1,1,0,1,0
5253,1,0,1,0,0,1,0,0,1,1
34020,1,1,1,0,0,0,0,0,0,0
5217,0,1,1,1,0,1,1,0,0,1
53207,1,0,1,1,0,1,0,0,0,1
28541,1,1,1,0,0,1,0,0,0,1
5249,1,1,1,1,1,1,0,0,0,1
33535,1,1,1,1,1,1,1,1,1,1
6882,1,0,1,1,0,1,1,0,0,0
2683,0,0,1,1,0,1,1,0,1,1
5247,0,0,0,0,0,1,0,0,0,0
5075,1,1,1,1,0,1,0,0,1,1
53198,0,0,1,0,0,1,1,0,0,1
5019,0,0,1,0,0,1,0,0,0,1
5070,1,1,1,1,1,1,0,1,1,1
20083,1,0,0,1,0,0,1,0,0,0
53275,1,0,1,0,0,1,0,0,0,1
2770,1,1,1,1,1,1,1,0,1,0
5207,1,1,1,1,1,1,0,0,1,1
12726,0,1,1,1,0,1,0,0,0,1
3141,1,1,1,1,0,1,0,0,1,1
56929,1,1,1,1,0,1,0,0,1,1
2780,0,0,1,1,0,1,0,0,1,1
18094,1,1,1,1,0,0,0,0,1,1
2788,1,1,1,1,0,1,0,0,1,1
18730,0,0,1,0,0,0,0,0,0,0
5029,1,0,1,0,0,0,0,1,1,1
2587,0,0,1,1,0,1,1,1,1,1
6839,1,1,1,0,0,0,0,0,1,0
7006,1,1,1,1,0,1,1,0,1,1
41358,0,1,1,1,1,1,1,0,1,0
41442,1,1,1,1,1,1,0,0,0,1
4927,1,1,1,1,0,1,0,0,0,1
55751,1,1,1,1,1,1,1,0,1,0
5018,1,1,1,1,0,1,1,1,1,0
4734,1,0,1,0,0,1,1,1,0,0
41530,0,1,1,0,0,0,0,0,0,1
41670,1,1,0,1,1,1,0,0,1,1
5119,1,1,1,0,0,1,0,1,1,1
28787,1,0,1,1,1,1,1,1,1,1
39986,0,0,0,1,0,0,0,0,0,1
28809,1,1,1,1,1,1,1,1,1,1
41577,1,1,1,0,0,1,0,1,0,0
41441,1,0,1,1,0,1,1,0,1,0
55756,1,1,1,1,0,1,0,0,1,0
6980,1,1,1,1,1,1,1,0,1,1
4772,1,1,1,1,0,1,0,1,1,1
6875,1,1,1,1,1,0,0,0,1,1
32143,1,1,1,1,0,1,0,1,1,1
41576,1,1,1,1,0,1,0,0,1,1
8333,0,0,1,0,0,1,0,1,1,1
41669,1,1,1,1,0,1,1,1,1,1
41624,1,0,1,1,1,1,0,0,0,0
7012,1,1,0,1,1,1,1,0,1,0
55745,1,1,1,1,1,1,1,0,1,0
41443,1,1,1,1,0,1,1,0,0,1
55997,0,1,1,0,0,1,0,1,0,1
41531,1,1,0,1,0,1,0,0,0,1
55987,0,0,0,1,0,1,1,1,1,1
41574,1,1,1,1,1,1,1,0,1,0
41578,1,1,1,1,1,1,0,0,1,1
28746,1,1,1,1,1,1,0,1,1,1
8122,0,1,1,1,0,1,0,1,1,1
31748,0,1,1,1,0,0,0,1,1,1
8257,0,0,1,0,0,0,0,0,0,1
38520,0,0,0,1,0,0,0,1,0,1
53548,0,0,1,1,0,1,1,0,0,0
38544,0,1,1,1,0,1,1,0,1,1
38532,0,0,0,0,0,1,0,1,0,0
9895,1,0,1,1,0,1,0,1,1,1
38603,1,0,1,1,1,1,0,1,1,1
23727,1,1,1,1,0,1,0,1,1,1
8747,1,0,1,1,0,1,0,0,1,1
38566,0,0,1,1,0,0,0,0,1,0
57049,0,1,1,1,1,1,0,1,1,1
41648,0,0,1,0,0,1,0,0,0,0
57050,1,1,1,1,1,1,0,1,1,1
41625,1,1,1,1,0,1,0,1,1,1
53530,0,1,1,1,0,0,0,0,1,1
53541,0,0,1,1,0,1,1,1,1,0
6951,1,1,1,1,0,1,0,0,1,1
6842,1,0,1,0,0,0,0,1,0,0
23414,1,1,1,1,0,1,0,1,1,1
57045,1,1,1,1,1,1,0,1,1,1
18950,1,1,1,1,0,1,0,0,0,1
57069,1,0,1,1,0,1,0,0,0,1
41364,1,1,1,1,0,1,0,1,1,1
57051,1,1,1,1,0,1,0,0,1,1
57053,1,1,1,1,0,1,0,0,1,1
57587,1,1,1,1,1,1,0,0,1,0
