student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
11432,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1
11159,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
10898,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
10896,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1
11497,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0
11158,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0
11499,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
11504,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
11337,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
25707,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
11431,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
25628,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0
25617,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
11070,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
25467,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0
25463,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
25451,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
25646,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
25462,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25504,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
25466,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
25529,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1753,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25644,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0
25464,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0
10986,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
10942,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
11429,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
11156,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
57243,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
11338,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
10897,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
11069,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0
11157,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0
11500,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
1356,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
25465,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0
1357,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
1358,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1359,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
1361,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
1362,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
27617,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
27919,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0
28064,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1
27720,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1
27627,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
44708,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
44728,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1
27983,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
27611,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1
27859,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
27614,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0
14549,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
27675,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0
28052,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
27673,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0
27916,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10257,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
27982,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
27792,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
27791,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1
27789,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0
27984,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
10356,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
27920,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1
27793,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27610,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
27616,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
27788,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0
27948,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
10280,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
12058,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
12059,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1
12608,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
12671,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
12148,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12107,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
12358,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
12429,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
15486,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
5466,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0
12352,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
58033,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1
12535,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1
12365,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
12548,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
33324,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
3146,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1
3433,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0
3887,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
42747,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
52282,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1
17266,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0
3272,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
54547,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0
30079,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
3883,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
3837,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
3094,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
43098,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1
3891,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1
3394,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
3885,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1
3559,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1
3386,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
